Interaction,Category_Var1,Metric,1,2,3,4,5,6,7,2-4,8,9,7-8
Bonus Class vs Kilometres,2,Y_j,3429,4223,1850,622,557,,,,,,
Bonus Class vs Kilometres,3,Y_j,2144,3018,1555,525,500,,,,,,
Bonus Class vs Kilometres,4,Y_j,1611,2336,1375,513,474,,,,,,
Bonus Class vs Kilometres,5,Y_j,1685,2386,1770,707,595,,,,,,
Bonus Class vs Kilometres,6,Y_j,2886,3959,3339,1252,1146,,,,,,
Bonus Class vs Kilometres,7,Y_j,13116,15953,11695,4888,3873,,,,,,
Bonus Class vs Kilometres,1,t_j,82513.46,54428.2,16856.05,4070.67,3475.53,,,,,,
Bonus Class vs Kilometres,2,t_j,57964.2,51048.48,20800.05,6222.7,4700.11,,,,,,
Bonus Class vs Kilometres,3,t_j,44986.06,44884.77,21397.96,6893.49,5054.58,,,,,,
Bonus Class vs Kilometres,4,t_j,35996.61,40415.39,22083.71,7619.95,5604.22,,,,,,
Bonus Class vs Kilometres,5,t_j,40552.16,47478.12,29962.83,10950.18,7960.91,,,,,,
Bonus Class vs Kilometres,6,t_j,73352.43,84302.92,57018.27,22476.75,16681.9,,,,,,
Bonus Class vs Kilometres,7,t_j,471436.43,481838.84,309030.51,114916.3,78195.34,,,,,,
Bonus Class vs Kilometres,1,L,-2.317,-2.005,-2.033,-2.152,-1.914,,,,,,
Bonus Class vs Kilometres,2,L,-2.862,-2.523,-2.466,-2.385,-2.219,,,,,,
Bonus Class vs Kilometres,3,L,-3.087,-2.736,-2.673,-2.664,-2.405,,,,,,
Bonus Class vs Kilometres,4,L,-3.157,-2.892,-2.831,-2.789,-2.564,,,,,,
Bonus Class vs Kilometres,5,L,-3.23,-3.032,-2.877,-2.817,-2.678,,,,,,
Bonus Class vs Kilometres,6,L,-3.273,-3.09,-2.872,-2.945,-2.738,,,,,,
Bonus Class vs Kilometres,7,L,-3.599,-3.424,-3.293,-3.186,-3.037,,,,,,
Bonus Class vs Kilometres,1,U,-2.274,-1.96,-1.951,-1.979,-1.748,,,,,,
Bonus Class vs Kilometres,2,U,-2.795,-2.463,-2.375,-2.227,-2.053,,,,,,
Bonus Class vs Kilometres,3,U,-3.002,-2.664,-2.573,-2.493,-2.229,,,,,,
Bonus Class vs Kilometres,4,U,-3.059,-2.811,-2.725,-2.615,-2.384,,,,,,
Bonus Class vs Kilometres,5,U,-3.134,-2.951,-2.783,-2.669,-2.516,,,,,,
Bonus Class vs Kilometres,6,U,-3.2,-3.028,-2.804,-2.834,-2.622,,,,,,
Bonus Class vs Kilometres,7,U,-3.565,-3.393,-3.256,-3.13,-2.974,,,,,,
Bonus Class vs Kilometres (Merged),1,Empir. Log-Rate,-2.295,,,,-1.827,,,-1.989,,,
Bonus Class vs Kilometres (Merged),2,Empir. Log-Rate,-2.828,,,,-2.133,,,-2.456,,,
Bonus Class vs Kilometres (Merged),3,Empir. Log-Rate,-3.044,,,,-2.313,,,-2.664,,,
Bonus Class vs Kilometres (Merged),4,Empir. Log-Rate,-3.107,,,,-2.47,,,-2.809,,,
Bonus Class vs Kilometres (Merged),5,Empir. Log-Rate,-3.181,,,,-2.594,,,-2.9,,,
Bonus Class vs Kilometres (Merged),6,Empir. Log-Rate,-3.235,,,,-2.678,,,-2.953,,,
Bonus Class vs Kilometres (Merged),7,Empir. Log-Rate,-3.582,,,,-3.005,,,-3.326,,,
Bonus Class vs Kilometres (Merged),1,Y_j,8315,,,,559,,,10315,,,
Bonus Class vs Kilometres (Merged),2,Y_j,3429,,,,557,,,6695,,,
Bonus Class vs Kilometres (Merged),3,Y_j,2144,,,,500,,,5098,,,
Bonus Class vs Kilometres (Merged),4,Y_j,1611,,,,474,,,4224,,,
Bonus Class vs Kilometres (Merged),5,Y_j,1685,,,,595,,,4863,,,
Bonus Class vs Kilometres (Merged),6,Y_j,2886,,,,1146,,,8550,,,
Bonus Class vs Kilometres (Merged),7,Y_j,13116,,,,3873,,,32536,,,
Bonus Class vs Kilometres (Merged),1,t_j,82513.46,,,,3475.53,,,75354.92,,,
Bonus Class vs Kilometres (Merged),2,t_j,57964.2,,,,4700.11,,,78071.23,,,
Bonus Class vs Kilometres (Merged),3,t_j,44986.06,,,,5054.58,,,73176.22,,,
Bonus Class vs Kilometres (Merged),4,t_j,35996.61,,,,5604.22,,,70119.05,,,
Bonus Class vs Kilometres (Merged),5,t_j,40552.16,,,,7960.91,,,88391.13,,,
Bonus Class vs Kilometres (Merged),6,t_j,73352.43,,,,16681.9,,,163797.94,,,
Bonus Class vs Kilometres (Merged),7,t_j,471436.43,,,,78195.34,,,905785.65,,,
Bonus Class vs Kilometres (Merged),1,L,-2.317,,,,-1.914,,,-2.008,,,
Bonus Class vs Kilometres (Merged),2,L,-2.862,,,,-2.219,,,-2.481,,,
Bonus Class vs Kilometres (Merged),3,L,-3.087,,,,-2.405,,,-2.692,,,
Bonus Class vs Kilometres (Merged),4,L,-3.157,,,,-2.564,,,-2.84,,,
Bonus Class vs Kilometres (Merged),5,L,-3.23,,,,-2.678,,,-2.929,,,
Bonus Class vs Kilometres (Merged),6,L,-3.273,,,,-2.738,,,-2.974,,,
Bonus Class vs Kilometres (Merged),7,L,-3.599,,,,-3.037,,,-3.337,,,
Bonus Class vs Kilometres (Merged),1,U,-2.274,,,,-1.748,,,-1.969,,,
Bonus Class vs Kilometres (Merged),2,U,-2.795,,,,-2.053,,,-2.433,,,
Bonus Class vs Kilometres (Merged),3,U,-3.002,,,,-2.229,,,-2.637,,,
Bonus Class vs Kilometres (Merged),4,U,-3.059,,,,-2.384,,,-2.78,,,
Bonus Class vs Kilometres (Merged),5,U,-3.134,,,,-2.516,,,-2.872,,,
Bonus Class vs Kilometres (Merged),6,U,-3.2,,,,-2.622,,,-2.932,,,
Bonus Class vs Kilometres (Merged),7,U,-3.565,,,,-2.974,,,-3.316,,,
Zone vs Kilometres,1,Empir. Log-Rate,-2.765,-2.623,-2.609,-2.585,-2.258,,,,,,
Zone vs Kilometres,2,Empir. Log-Rate,-3.034,-2.874,-2.866,-2.804,-2.603,,,,,,
Zone vs Kilometres,3,Empir. Log-Rate,-3.222,-3.035,-2.986,-3.001,-2.802,,,,,,
Zone vs Kilometres,4,Empir. Log-Rate,-3.481,-3.253,-3.205,-3.094,-2.965,,,,,,
Zone vs Kilometres,5,Empir. Log-Rate,-3.07,-2.977,-3.007,-2.907,-2.867,,,,,,
Zone vs Kilometres,6,Empir. Log-Rate,-3.342,-3.17,-3.158,-3.148,-2.946,,,,,,
Zone vs Kilometres,7,Empir. Log-Rate,-3.496,-3.5,-3.238,-3.435,-3.181,,,,,,
Zone vs Kilometres,1,Y_j,7169,8148,4794,1566,1497,,,,,,
Zone vs Kilometres,2,Y_j,6294,7507,4409,1649,1443,,,,,,
Zone vs Kilometres,3,Y_j,5964,6940,4183,1519,1332,,,,,,
Zone vs Kilometres,4,Y_j,8619,10865,7055,2992,2382,,,,,,
Zone vs Kilometres,5,Y_j,2031,2141,1089,400,301,,,,,,
Zone vs Kilometres,6,Y_j,2895,3574,2218,858,717,,,,,,
Zone vs Kilometres,7,Y_j,214,196,137,41,32,,,,,,
Zone vs Kilometres,1,t_j,113842.13,112304.44,65150.23,20777.63,14319.67,,,,,,
Zone vs Kilometres,2,t_j,130747.13,132998.07,77460.12,27222.41,19489.05,,,,,,
Zone vs Kilometres,3,t_j,149560.59,144427.66,82837.72,30550.17,21955.85,,,,,,
Zone vs Kilometres,4,t_j,279934.65,281017.28,173991.26,66015.31,46196.33,,,,,,
Zone vs Kilometres,5,t_j,43765.69,42038.74,22021.66,7322.34,5294.56,,,,,,
Zone vs Kilometres,6,t_j,81889.78,85120.54,52197.9,19990.45,13646.97,,,,,,
Zone vs Kilometres,7,t_j,7061.38,6489.99,3490.49,1271.73,770.16,,,,,,
Zone vs Kilometres,1,L,-2.788,-2.645,-2.638,-2.636,-2.31,,,,,,
Zone vs Kilometres,2,L,-3.059,-2.897,-2.896,-2.853,-2.656,,,,,,
Zone vs Kilometres,3,L,-3.248,-3.059,-3.017,-3.053,-2.858,,,,,,
Zone vs Kilometres,4,L,-3.502,-3.272,-3.229,-3.13,-3.006,,,,,,
Zone vs Kilometres,5,L,-3.115,-3.021,-3.068,-3.01,-2.987,,,,,,
Zone vs Kilometres,6,L,-3.379,-3.204,-3.201,-3.218,-3.022,,,,,,
Zone vs Kilometres,7,L,-3.64,-3.651,-3.421,-3.8,-3.606,,,,,,
Zone vs Kilometres,1,U,-2.742,-2.602,-2.581,-2.537,-2.209,,,,,,
Zone vs Kilometres,2,U,-3.009,-2.852,-2.837,-2.757,-2.553,,,,,,
Zone vs Kilometres,3,U,-3.197,-3.012,-2.956,-2.952,-2.75,,,,,,
Zone vs Kilometres,4,U,-3.46,-3.234,-3.182,-3.059,-2.926,,,,,,
Zone vs Kilometres,5,U,-3.028,-2.936,-2.949,-2.814,-2.76,,,,,,
Zone vs Kilometres,6,U,-3.307,-3.138,-3.118,-3.084,-2.876,,,,,,
Zone vs Kilometres,7,U,-3.371,-3.369,-3.083,-3.168,-2.883,,,,,,
Zone vs Kilometres (Merged),1,Empir. Log-Rate,-2.765,,,,-2.258,,,-2.615,,,
Zone vs Kilometres (Merged),2,Empir. Log-Rate,-3.034,,,,-2.603,,,-2.863,,,
Zone vs Kilometres (Merged),3,Empir. Log-Rate,-3.222,,,,-2.802,,,-3.015,,,
Zone vs Kilometres (Merged),4,Empir. Log-Rate,-3.481,,,,-2.965,,,-3.215,,,
Zone vs Kilometres (Merged),5,Empir. Log-Rate,-3.07,,,,-2.867,,,-2.979,,,
Zone vs Kilometres (Merged),6,Empir. Log-Rate,-3.342,,,,-2.946,,,-3.164,,,
Zone vs Kilometres (Merged),7,Empir. Log-Rate,-3.496,,,,-3.181,,,-3.404,,,
Zone vs Kilometres (Merged),1,Y_j,7169,,,,1497,,,14508,,,
Zone vs Kilometres (Merged),2,Y_j,6294,,,,1443,,,13565,,,
Zone vs Kilometres (Merged),3,Y_j,5964,,,,1332,,,12642,,,
Zone vs Kilometres (Merged),4,Y_j,8619,,,,2382,,,20912,,,
Zone vs Kilometres (Merged),5,Y_j,2031,,,,301,,,3630,,,
Zone vs Kilometres (Merged),6,Y_j,2895,,,,717,,,6650,,,
Zone vs Kilometres (Merged),7,Y_j,214,,,,32,,,374,,,
Zone vs Kilometres (Merged),1,t_j,113842.13,,,,14319.67,,,198232.3,,,
Zone vs Kilometres (Merged),2,t_j,130747.13,,,,19489.05,,,237680.6,,,
Zone vs Kilometres (Merged),3,t_j,149560.59,,,,21955.85,,,257815.55,,,
Zone vs Kilometres (Merged),4,t_j,279934.65,,,,46196.33,,,521023.85,,,
Zone vs Kilometres (Merged),5,t_j,43765.69,,,,5294.56,,,71382.74,,,
Zone vs Kilometres (Merged),6,t_j,81889.78,,,,13646.97,,,157308.89,,,
Zone vs Kilometres (Merged),7,t_j,7061.38,,,,770.16,,,11252.21,,,
Zone vs Kilometres (Merged),1,L,-2.788,,,,-2.31,,,-2.631,,,
Zone vs Kilometres (Merged),2,L,-3.059,,,,-2.656,,,-2.88,,,
Zone vs Kilometres (Merged),3,L,-3.248,,,,-2.858,,,-3.033,,,
Zone vs Kilometres (Merged),4,L,-3.502,,,,-3.006,,,-3.229,,,
Zone vs Kilometres (Merged),5,L,-3.115,,,,-2.987,,,-3.012,,,
Zone vs Kilometres (Merged),6,L,-3.379,,,,-3.022,,,-3.188,,,
Zone vs Kilometres (Merged),7,L,-3.64,,,,-3.606,,,-3.511,,,
Zone vs Kilometres (Merged),1,U,-2.742,,,,-2.209,,,-2.599,,,
Zone vs Kilometres (Merged),2,U,-3.009,,,,-2.553,,,-2.847,,,
Zone vs Kilometres (Merged),3,U,-3.197,,,,-2.75,,,-2.998,,,
Zone vs Kilometres (Merged),4,U,-3.46,,,,-2.926,,,-3.202,,,
Zone vs Kilometres (Merged),5,U,-3.028,,,,-2.76,,,-2.947,,,
Zone vs Kilometres (Merged),6,U,-3.307,,,,-2.876,,,-3.14,,,
Zone vs Kilometres (Merged),7,U,-3.371,,,,-2.883,,,-3.308,,,
Bonus Class vs Make,1,Empir. Log-Rate,-1.801,-1.85,-1.99,-2.809,-1.686,-2.457,-2.183,,-1.77,-2.111,
Bonus Class vs Make,2,Empir. Log-Rate,-2.267,-2.209,-2.363,-3.327,-2.07,-2.834,-2.491,,-2.528,-2.573,
Bonus Class vs Make,3,Empir. Log-Rate,-2.575,-2.547,-2.696,-3.477,-2.404,-3.063,-2.626,,-2.401,-2.757,
Bonus Class vs Make,4,Empir. Log-Rate,-2.724,-2.649,-3.095,-3.439,-2.656,-3.171,-2.795,,-2.867,-2.863,
Bonus Class vs Make,5,Empir. Log-Rate,-2.863,-2.704,-3.055,-3.749,-2.743,-3.319,-2.919,,-2.989,-2.935,
Bonus Class vs Make,6,Empir. Log-Rate,-2.99,-2.783,-2.972,-3.728,-2.848,-3.267,-3.05,,-2.785,-2.995,
Bonus Class vs Make,7,Empir. Log-Rate,-3.357,-3.166,-3.51,-3.94,-3.243,-3.66,-3.346,,-3.345,-3.366,
Bonus Class vs Make,1,Y_j,1542,220,140,687,525,812,196,,85,14982,
Bonus Class vs Make,2,Y_j,959,164,94,312,301,527,152,,41,8131,
Bonus Class vs Make,3,Y_j,746,140,71,190,196,356,134,,58,5851,
Bonus Class vs Make,4,Y_j,648,148,58,138,153,271,115,,48,4730,
Bonus Class vs Make,5,Y_j,760,206,104,94,192,265,141,,67,5314,
Bonus Class vs Make,6,Y_j,1349,390,285,117,366,474,255,,186,9160,
Bonus Class vs Make,7,Y_j,5618,1479,1095,527,1361,1959,1187,,618,35681,
Bonus Class vs Make,1,t_j,9333.9,1398.77,1023.86,11400.51,2835.01,9473.7,1739.33,,499.23,123639.6,
Bonus Class vs Make,2,t_j,9253.18,1493.4,998.3,8693.86,2384.18,8964.15,1835.07,,513.44,106599.96,
Bonus Class vs Make,3,t_j,9791.72,1786.77,1052.4,6146.09,2169.55,7613.54,1852.42,,639.72,92164.65,
Bonus Class vs Make,4,t_j,9874.49,2092.48,1280.95,4300.19,2179.47,6457.37,1882.47,,843.66,82808.8,
Bonus Class vs Make,5,t_j,13315.96,3078.06,2208.07,3993.88,2981.39,7319.06,2610.46,,1330.42,100066.9,
Bonus Class vs Make,6,t_j,26828.28,6302.3,5568.98,4865.71,6314.1,12435.4,5386.6,,3012,183118.9,
Bonus Class vs Make,7,t_j,161175.66,35086.5,36630.11,27085.75,34863.44,76140.81,33692.9,,17531.35,1033210.9,
Bonus Class vs Make,1,L,-1.852,-1.991,-2.171,-2.887,-1.776,-2.528,-2.334,,-2.009,-2.127,
Bonus Class vs Make,2,L,-2.332,-2.375,-2.589,-3.445,-2.189,-2.923,-2.664,,-2.893,-2.595,
Bonus Class vs Make,3,L,-2.649,-2.728,-2.961,-3.63,-2.555,-3.172,-2.812,,-2.698,-2.783,
Bonus Class vs Make,4,L,-2.804,-2.825,-3.392,-3.622,-2.829,-3.298,-2.997,,-3.199,-2.892,
Bonus Class vs Make,5,L,-2.937,-2.851,-3.269,-3.975,-2.895,-3.447,-3.099,,-3.262,-2.963,
Bonus Class vs Make,6,L,-3.045,-2.887,-3.096,-3.928,-2.956,-3.361,-3.181,,-2.94,-3.016,
Bonus Class vs Make,7,L,-3.383,-3.219,-3.571,-4.029,-3.298,-3.705,-3.404,,-3.427,-3.376,
Bonus Class vs Make,1,U,-1.752,-1.726,-1.836,-2.737,-1.604,-2.39,-2.052,,-1.578,-2.095,
Bonus Class vs Make,2,U,-2.205,-2.067,-2.179,-3.222,-1.962,-2.752,-2.343,,-2.261,-2.552,
Bonus Class vs Make,3,U,-2.505,-2.393,-2.487,-3.344,-2.273,-2.964,-2.47,,-2.172,-2.732,
Bonus Class vs Make,4,U,-2.65,-2.5,-2.866,-3.285,-2.509,-3.058,-2.628,,-2.617,-2.835,
Bonus Class vs Make,5,U,-2.795,-2.576,-2.88,-3.565,-2.61,-3.205,-2.766,,-2.774,-2.909,
Bonus Class vs Make,6,U,-2.938,-2.688,-2.863,-3.561,-2.75,-3.181,-2.935,,-2.65,-2.975,
Bonus Class vs Make,7,U,-3.331,-3.117,-3.453,-3.858,-3.191,-3.617,-3.291,,-3.269,-3.355,
Bonus Class vs Make (Merged),1,Empir. Log-Rate,-1.801,-1.85,-1.99,-2.809,-1.686,-2.457,,,,-2.111,-2.075
Bonus Class vs Make (Merged),2,Empir. Log-Rate,-2.267,-2.209,-2.363,-3.327,-2.07,-2.834,,,,-2.573,-2.499
Bonus Class vs Make (Merged),3,Empir. Log-Rate,-2.575,-2.547,-2.696,-3.477,-2.404,-3.063,,,,-2.757,-2.563
Bonus Class vs Make (Merged),4,Empir. Log-Rate,-2.724,-2.649,-3.095,-3.439,-2.656,-3.171,,,,-2.863,-2.817
Bonus Class vs Make (Merged),5,Empir. Log-Rate,-2.863,-2.704,-3.055,-3.749,-2.743,-3.319,,,,-2.935,-2.942
Bonus Class vs Make (Merged),6,Empir. Log-Rate,-2.99,-2.783,-2.972,-3.728,-2.848,-3.267,,,,-2.995,-2.947
Bonus Class vs Make (Merged),7,Empir. Log-Rate,-3.357,-3.166,-3.51,-3.94,-3.243,-3.66,,,,-3.366,-3.346
Bonus Class vs Make (Merged),1,Y_j,1542,220,140,687,525,812,,,,14982,281
Bonus Class vs Make (Merged),2,Y_j,959,164,94,312,301,527,,,,8131,193
Bonus Class vs Make (Merged),3,Y_j,746,140,71,190,196,356,,,,5851,192
Bonus Class vs Make (Merged),4,Y_j,648,148,58,138,153,271,,,,4730,163
Bonus Class vs Make (Merged),5,Y_j,760,206,104,94,192,265,,,,5314,208
Bonus Class vs Make (Merged),6,Y_j,1349,390,285,117,366,474,,,,9160,441
Bonus Class vs Make (Merged),7,Y_j,5618,1479,1095,527,1361,1959,,,,35681,1805
Bonus Class vs Make (Merged),1,t_j,9333.9,1398.77,1023.86,11400.51,2835.01,9473.7,,,,123639.6,2238.56
Bonus Class vs Make (Merged),2,t_j,9253.18,1493.4,998.3,8693.86,2384.18,8964.15,,,,106599.96,2348.51
Bonus Class vs Make (Merged),3,t_j,9791.72,1786.77,1052.4,6146.09,2169.55,7613.54,,,,92164.65,2492.14
Bonus Class vs Make (Merged),4,t_j,9874.49,2092.48,1280.95,4300.19,2179.47,6457.37,,,,82808.8,2726.13
Bonus Class vs Make (Merged),5,t_j,13315.96,3078.06,2208.07,3993.88,2981.39,7319.06,,,,100066.9,3940.88
Bonus Class vs Make (Merged),6,t_j,26828.28,6302.3,5568.98,4865.71,6314.1,12435.4,,,,183118.9,8398.6
Bonus Class vs Make (Merged),7,t_j,161175.66,35086.5,36630.11,27085.75,34863.44,76140.81,,,,1033210.9,51224.25
Bonus Class vs Make (Merged),1,L,-1.852,-1.991,-2.171,-2.887,-1.776,-2.528,,,,-2.127,-2.2
Bonus Class vs Make (Merged),2,L,-2.332,-2.375,-2.589,-3.445,-2.189,-2.923,,,,-2.595,-2.651
Bonus Class vs Make (Merged),3,L,-2.649,-2.728,-2.961,-3.63,-2.555,-3.172,,,,-2.783,-2.716
Bonus Class vs Make (Merged),4,L,-2.804,-2.825,-3.392,-3.622,-2.829,-3.298,,,,-2.892,-2.984
Bonus Class vs Make (Merged),5,L,-2.937,-2.851,-3.269,-3.975,-2.895,-3.447,,,,-2.963,-3.088
Bonus Class vs Make (Merged),6,L,-3.045,-2.887,-3.096,-3.928,-2.956,-3.361,,,,-3.016,-3.045
Bonus Class vs Make (Merged),7,L,-3.383,-3.219,-3.571,-4.029,-3.298,-3.705,,,,-3.376,-3.393
Bonus Class vs Make (Merged),1,U,-1.752,-1.726,-1.836,-2.737,-1.604,-2.39,,,,-2.095,-1.965
Bonus Class vs Make (Merged),2,U,-2.205,-2.067,-2.179,-3.222,-1.962,-2.752,,,,-2.552,-2.367
Bonus Class vs Make (Merged),3,U,-2.505,-2.393,-2.487,-3.344,-2.273,-2.964,,,,-2.732,-2.431
Bonus Class vs Make (Merged),4,U,-2.65,-2.5,-2.866,-3.285,-2.509,-3.058,,,,-2.835,-2.674
Bonus Class vs Make (Merged),5,U,-2.795,-2.576,-2.88,-3.565,-2.61,-3.205,,,,-2.909,-2.814
Bonus Class vs Make (Merged),6,U,-2.938,-2.688,-2.863,-3.561,-2.75,-3.181,,,,-2.975,-2.858
Bonus Class vs Make (Merged),7,U,-3.331,-3.117,-3.453,-3.858,-3.191,-3.617,,,,-3.355,-3.301
